"Name","TID","InfoTID","Disabled","ExistsApple","ExistsAndroid","Diamonds","USD","IconSWF","IconExportName","ShopItemExportName","OfferItemExportName","Order","RED","RMB","KunlunOnly","LenovoID","TencentID","isOfferPackage","OfferedByCalendar"
"String","String","String","boolean","boolean","boolean","int","int","String","String","String","String","int","boolean","int","boolean","int","String","boolean","boolean"
"com.supercell.everdale.gempack1","TID_SHOP_GEM_PACK_1_TITLE","TID_SHOP_GEM_PACK_1_INFO","FALSE","TRUE","TRUE",180,199,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_01","special_offer_item_gem_1",2,,3000,,,,,
"com.supercell.everdale.gempack2","TID_SHOP_GEM_PACK_2_TITLE","TID_SHOP_GEM_PACK_2_INFO","FALSE","TRUE","TRUE",500,499,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_02","special_offer_item_gem_2",3,,7500,,,,,
"com.supercell.everdale.gempack3","TID_SHOP_GEM_PACK_3_TITLE","TID_SHOP_GEM_PACK_3_INFO","FALSE","TRUE","TRUE",1100,999,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_03","special_offer_item_gem_3",4,,15000,,,,,
"com.supercell.everdale.gempack4","TID_SHOP_GEM_PACK_4_TITLE","TID_SHOP_GEM_PACK_4_INFO","FALSE","TRUE","TRUE",1800,1499,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_04","special_offer_item_gem_4",5,,22500,,,,,
"com.supercell.everdale.gempack5","TID_SHOP_GEM_PACK_5_TITLE","TID_SHOP_GEM_PACK_5_INFO","FALSE","TRUE","TRUE",2600,1999,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_05","special_offer_item_gem_5",6,,30000,,,,,
"com.supercell.everdale.gempack6","TID_SHOP_GEM_PACK_6_TITLE","TID_SHOP_GEM_PACK_6_INFO","FALSE","TRUE","TRUE",7000,4999,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_06","special_offer_item_gem_1",7,,75000,,,,,
"com.supercell.everdale.gempack1_dev","TID_SHOP_GEM_PACK_1_TITLE","TID_SHOP_GEM_PACK_1_INFO","TRUE","TRUE","TRUE",180,199,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_01","special_offer_item_gem_1",2,,3000,,,,,
"com.supercell.everdale.gempack2_dev","TID_SHOP_GEM_PACK_2_TITLE","TID_SHOP_GEM_PACK_2_INFO","TRUE","TRUE","TRUE",500,499,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_02","special_offer_item_gem_2",3,,7500,,,,,
"com.supercell.everdale.gempack3_dev","TID_SHOP_GEM_PACK_3_TITLE","TID_SHOP_GEM_PACK_3_INFO","TRUE","TRUE","TRUE",1100,999,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_03","special_offer_item_gem_3",4,,15000,,,,,
"com.supercell.everdale.gempack4_dev","TID_SHOP_GEM_PACK_4_TITLE","TID_SHOP_GEM_PACK_4_INFO","TRUE","TRUE","TRUE",1800,1499,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_04","special_offer_item_gem_4",5,,22500,,,,,
