"Name","Type","Resource","Amount","TID","InfoTID","Tag1","ExpireTimeInHours","IsInShop","HighlightUnseen","RandomSelectionWeight","Order","ShowOnlyOnce","MaxPurchaseCount","MaxPurchaseCountAllTime","ValueTID","BillingPackage","GemCost","AutoGemCostPct","AutoAmountPct","DurationDays","Worker","DecorationBuilding","OfferMovieClip","Potion","PotionLevel","WorkerForSkin","Worker2ForSkin","Skin","IconSWF","IconExportName","IconBackgroundFrameLabel","ProductIconBackgroundFrameLabel","ConfirmPopupIconExportName","AnimateMovieClip","InFixedCategory","MinVillageXPLevel","MaxVillageXPLevel","VillageXPLevelRemove","MustBeInValley","OverrideProductIconMovieClip","ProductInfoTitleTID","ProductInfoTID","ProductInfoConfirmPopupTID"
"String","String","String","int","String","String","String","int","Boolean","boolean","int","int","boolean","int","int","String","String","int","int","int","int","String","String","String","String","int","String","String","String","String","String","String","String","String","String","Boolean","int","int","int","boolean","String","String","String","String"
"Shop0004_AutoResource_Basic1","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0005_AutoResource_Basic2","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0006_AutoResource_Basic3","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0007_AutoResource_Basic4","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0008_AutoResource_Basic5","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0009_AutoResource_Basic6","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0010_AutoResource_Basic7","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0011_AutoResource_Basic8","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,"1",1,,1,,,,,90,100,,,,,,,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0012_AutoResource_Discount1","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0013_AutoResource_Discount2","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0014_AutoResource_Discount3","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0015_AutoResource_Discount4","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0016_AutoResource_Discount5","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0017_AutoResource_Discount6","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0018_AutoResource_Discount7","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0019_AutoResource_Discount8","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,"1",1,,1,,"TID_SHOP_MINUS_50_PCT",,,45,100,,,,,,,,,,"sc/ui.sc",,"value",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0020_AutoResource_Freebie1","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0021_AutoResource_Freebie2","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0022_AutoResource_Freebie3","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0023_AutoResource_Freebie4","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0024_AutoResource_Freebie5","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0025_AutoResource_Freebie6","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0026_AutoResource_Freebie7","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0027_AutoResource_Freebie8","AutoResource",,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,,0,50,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,,,,,,,,
"Shop0028_Resource_Free_Coins","Resource","Coins",100,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,0,,,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,5,,,,,,,
"Shop0029_Resource_Free_BoostTokens","Resource","FountainBoost",5,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,0,,,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,5,,,,,,,
"Shop0030_Resource_Free_Scrolls","KnowledgePoints",,20,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE","1",1,,1,,,,0,,,,,,,,,,,,"sc/ui.sc",,"free",,"shop_item_confirm_special_popup",,,5,,,,,,,
"Shop0031_Potion_NoFood1","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",1,,1,,,,30,,,,,,,"PotionNoFood",1,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,4,7,,,,,,
"Shop0032_Potion_NoFood2","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",2,,1,,,,60,,,,,,,"PotionNoFood",2,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,5,15,,,,,,
"Shop0033_Potion_NoFood3","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",3,,1,,,,90,,,,,,,"PotionNoFood",3,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,8,,,,,,,
"Shop0034_Potion_Lumberjack1","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",1,,1,,,,30,,,,,,,"PotionSpeedLumberjack",1,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,4,7,,,,,,
"Shop0035_Potion_Lumberjack2","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",2,,1,,,,60,,,,,,,"PotionSpeedLumberjack",2,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,5,15,,,,,,
"Shop0036_Potion_Lumberjack3","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",3,,1,,,,90,,,,,,,"PotionSpeedLumberjack",3,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,8,,,,,,,
"Shop0037_Potion_Farmer1","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",1,,1,,,,30,,,,,,,"PotionSpeedFarmer",1,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,4,7,,,,,,
"Shop0038_Potion_Farmer2","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",2,,1,,,,60,,,,,,,"PotionSpeedFarmer",2,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,5,15,,,,,,
"Shop0039_Potion_Farmer3","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",3,,1,,,,90,,,,,,,"PotionSpeedFarmer",3,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,8,,,,,,,
"Shop0040_Potion_Researcher1","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",1,,1,,,,30,,,,,,,"PotionSpeedResearcher",1,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,4,8,,,,,,
"Shop0041_Potion_Researcher2","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",2,,1,,,,60,,,,,,,"PotionSpeedResearcher",2,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,6,15,,,,,,
"Shop0042_Potion_Researcher3","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",3,,1,,,,90,,,,,,,"PotionSpeedResearcher",3,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,9,,,,,,,
"Shop0043_Potion_ClayDigger1","Potion",,1,"TID_SHOP_ITEM_TITLE",,"Potions",,"TRUE",,"1",1,,1,,,,30,,,,,,,"PotionSpeedClaydigger",1,,,,"sc/ui.sc",,"basic",,"shop_item_confirm_special_popup",,,4,7,,,,,,
