"Name","TID","SWF","ExportName"
"String","String","String","String"
"NoCategory","TID_RESOURCE_CATEGORY_NO_CATEGORY","sc/ui.sc","icon_resource_food"
"Soup","TID_RESOURCE_CATEGORY_SOUP","sc/ui.sc","icon_resource_food"
"RawFoodIngredient","TID_RESOURCE_CATEGORY_RAW_FOOD_INGREDIENT","sc/ui.sc","icon_raw_material"
"VillageFoodItem","TID_RESOURCE_CATEGORY_VILLAGE_FOOD_ITEM","sc/ui.sc","icon_resource_village_food"
"ValleyFoodItem","TID_RESOURCE_CATEGORY_VALLEY_FOOD_ITEM","sc/ui.sc","icon_resource_valley_food"
"PotionIngredient","TID_RESOURCE_CATEGORY_POTION_INGREDIENT","sc/ui.sc","icon_mortar"
"RawMaterial","TID_RESOURCE_CATEGORY_RAW_MATERIAL","sc/ui.sc","icon_raw_material"
"VillageCraftedItem","TID_RESOURCE_CATEGORY_VILLAGE_CRAFTED_ITEM","sc/ui.sc","icon_crafting_village"
"ValleyCraftedItem","TID_RESOURCE_CATEGORY_VALLEY_CRAFTED_ITEM","sc/ui.sc","icon_crafting_valley"
"ShowOnlyInTreasury","TID_RESOURCE_COINS","sc/ui.sc","icon_resource_coin"
