"Name","TID","TID_Info","SortNumber","Enabled"
"String","String","String","int","boolean"
"Tag_000","TID_VALLEY_TAG_RELAXED",,0,"TRUE"
"Tag_001","TID_VALLEY_TAG_COMPETITIVE",,0,"TRUE"
"Tag_002","TID_VALLEY_TAG_CHATTY",,0,"TRUE"
"Tag_003","TID_VALLEY_TAG_QUIET",,0,"TRUE"
"Tag_004","TID_VALLEY_TAG_TOP_VALLEY_FOCUSED",,0,"false"
"Tag_005","TID_VALLEY_TAG_GRAND_MONUMENT_FOCUSED",,0,"false"
"Tag_006","TID_VALLEY_TAG_FRIENDLY",,0,"TRUE"
"Tag_007","TID_VALLEY_TAG_NEW_PLAYERS_WELCOME",,0,"false"
"Tag_008","TID_VALLEY_TAG_VETERAN",,0,"TRUE"
